model_name,metric_name,score,sample_index
Model A,AudioSNR,0.7727338075637817,0
Model A,AudioSpectrogramDistance,0.9534004926681519,0
Model B,AudioSNR,0.5713320374488831,0
Model B,AudioSpectrogramDistance,0.8261975646018982,0
Model C,AudioSNR,0.4770602583885193,0
Model C,AudioSpectrogramDistance,0.686915934085846,0
Model A,AudioSNR,0.7860140204429626,1
Model A,AudioSpectrogramDistance,0.9574203491210938,1
Model B,AudioSNR,0.5862131118774414,1
Model B,AudioSpectrogramDistance,0.8416077494621277,1
Model C,AudioSNR,0.48884817957878113,1
Model C,AudioSpectrogramDistance,0.7060745358467102,1
Model A,AudioSNR,0.7660598754882812,2
Model A,AudioSpectrogramDistance,0.9511792659759521,2
Model B,AudioSNR,0.5660169124603271,2
Model B,AudioSpectrogramDistance,0.8203562498092651,2
Model C,AudioSNR,0.47072046995162964,2
Model C,AudioSpectrogramDistance,0.676347017288208,2
Model A,AudioSNR,0.8014729619026184,3
Model A,AudioSpectrogramDistance,0.961564838886261,3
Model B,AudioSNR,0.6021050810813904,3
Model B,AudioSpectrogramDistance,0.8565159440040588,3
Model C,AudioSNR,0.5038586258888245,3
Model C,AudioSpectrogramDistance,0.729276716709137,3
Model A,AudioSNR,0.7935208082199097,4
Model A,AudioSpectrogramDistance,0.9595305323600769,4
Model B,AudioSNR,0.5939472913742065,4
Model B,AudioSpectrogramDistance,0.8490498661994934,4
Model C,AudioSNR,0.49603456258773804,4
Model C,AudioSpectrogramDistance,0.717603325843811,4
